id,grammarType,group,sentence,optionA,optionB,optionC,optionD,correct,infinitive,preteritum,meaning,translation,synonym,antonym
24,Perfekt (Partizip II),,Er ist bei einer großen Firma ______.,vorgestellt,angestellt,abgestellt,aufgestellt,angestellt,anstellen,stellte an,thuê nhân viên; bật máy,Anh ấy được tuyển dụng ở một công ty lớn.,einstellen,entlassen (sa thải)
25,Perfekt (Partizip II),,Ich habe dich gestern Abend ______.,widerrufen,aufgerufen,ausgerufen,angerufen,angerufen,anrufen,rief an,gọi điện,Tối qua tôi đã gọi điện cho bạn.,telefonieren,
26,Perfekt (Partizip II),,Er hat bei der Anmeldung falsche Daten ______.,vergeben,aufgegeben,zurückgegeben,angegeben,angegeben,angeben,gab an,khai báo; khoe khoang,Anh ấy đã khai sai thông tin khi đăng ký.,erwähnen,
27,Perfekt (Partizip II),,Die Kinder haben dem Spiel begeistert ______.,weggeschaut,zugeschaut,angeschaut,zerschnitten,zugeschaut,zuschauen,schaute zu,"xem, quan sát",Bọn trẻ đã hào hứng theo dõi trận đấu.,beobachten,mitgemacht (tham gia)
28,Perfekt (Partizip II),,Der Fotograf hat den Moment ______.,festgehalten,abgehalten,angehalten,behalten,festgehalten,festhalten,hielt fest,giữ chặt; ghi lại,Nhiếp ảnh gia đã ghi lại khoảnh khắc đó.,greifen,losgelassen (buông ra)
29,Perfekt (Partizip II),,Wir haben das Treffen um eine Woche ______.,hergestellt,eingestellt,zurückgestellt,bestellt,zurückgestellt,zurückstellen,stellte zurück,hoãn lại; đặt lại chỗ cũ,Chúng tôi đã hoãn buổi gặp mặt lại một tuần.,verschieben,vorgezogen (đẩy sớm lên)
30,Perfekt (Partizip II),,Mein Reisepass ist leider schon ______.,aufgelaufen,abgelaufen,verlaufen,ausgelaufen,abgelaufen,ablaufen,lief ab,hết hạn; diễn ra,Tiếc là hộ chiếu của tôi đã hết hạn.,verfallen,
31,Perfekt (Partizip II),,Er hat seine Meinung am Ende ______.,durchgesetzt,umgesetzt,aufgesetzt,besetzt,durchgesetzt,durchsetzen,setzte durch,thực thi; đạt được,Cuối cùng anh ấy đã bảo vệ được quan điểm của mình.,erzwingen,nachgegeben (nhượng bộ)
32,Perfekt (Partizip II),,Mein neuer Pullover ist beim Waschen ______.,weggelaufen,eingelaufen,ausgelaufen,aufgelaufen,eingelaufen,einlaufen,lief ein,co lại (vải); vào bến,Chiếc áo len mới của tôi đã bị co lại khi giặt.,schrumpfen,
33,Perfekt (Partizip II),,Der Lehrer hat den Fehler leider ______.,eingesehen,nachgesehen,angesehen,übersehen,übersehen,übersehen,übersah,bỏ sót,Tiếc là thầy giáo đã bỏ sót lỗi đó.,nicht bemerken,bemerkt (nhận ra)
34,Perfekt (Partizip II),,Die Klasse wurde in vier Gruppen ______.,zerteilt,eingeteilt,verteilt,mitgeteilt,eingeteilt,einteilen,teilte ein,chia thành phần; sắp xếp,Lớp học đã được chia thành bốn nhóm.,gliedern,
35,Perfekt (Partizip II),,Der Hund wurde endlich ______.,verlassen,zugelassen,losgelassen,eingelassen,losgelassen,loslassen,ließ los,buông ra,Cuối cùng con chó đã được thả ra.,freilassen,festgehalten (giữ chặt)
36,Perfekt (Partizip II),,Der Diebstahl wurde der Polizei ______.,vorgezeigt,angezeigt,kennengelernt,aufgezeigt,angezeigt,anzeigen,zeigte an,báo cáo (công an); hiển thị,Vụ trộm cắp đã được báo cho cảnh sát.,melden,
37,Perfekt (Partizip II),,Im Zoo ist ein Löwe ______.,zerbrochen,abgebrochen,ausgebrochen,aufgebrochen,ausgebrochen,ausbrechen,brach aus,bùng nổ; thoát khỏi,Một con sư tử đã sổng chuồng ở sở thú.,entkommen,
38,Perfekt (Partizip II),,Er hat bei der Party ziemlich ______.,ausgeschnitten,abgeschnitten,aufgeschnitten,zerschnitten,aufgeschnitten,aufschneiden,schnitt auf,cắt mở; (khẩu ngữ) nói khoác,Anh ấy đã khá khoác lác tại bữa tiệc.,öffnen,
39,Perfekt (Partizip II),,Ich habe den Vertrag genau ______.,ausgelesen,vorgelesen,durchgelesen,verlesen,durchgelesen,durchlesen,las durch,"đọc kỹ, đọc hết",Tôi đã đọc kỹ toàn bộ hợp đồng.,studieren,überflogen (đọc lướt)
40,Perfekt (Partizip II),,Das Zimmer ist mit allem Nötigen ______.,übersehen,versehen,nachgesehen,ausgesehen,versehen,versehen,versah,trang bị; đảm nhận,Căn phòng được trang bị đầy đủ những thứ cần thiết.,ausstatten,
41,Perfekt (Partizip II),,Er hat sich seinen größten Traum ______.,ausgefüllt,erfüllt,eingefüllt,eingezogen,erfüllt,erfüllen,erfüllte,"hoàn thành, đáp ứng",Anh ấy đã thực hiện được giấc mơ lớn nhất của mình.,verwirklichen,
42,Perfekt (Partizip II),,Meine Eltern sind über Ostern ______.,umgeschrieben,abgereist,verreist,zerbrochen,verreist,verreisen,verreiste,đi du lịch xa,Bố mẹ tôi đã đi du lịch xa vào dịp lễ Phục sinh.,wegfahren,zu Hause geblieben (ở nhà)
43,Perfekt (Partizip II),,Der Teller ist beim Spülen ______.,eingeschlagen,ausgeschlagen,zerschlagen,vorgeschlagen,zerschlagen,zerschlagen,zerschlug,đập tan,Chiếc đĩa đã vỡ tan khi rửa.,zertrümmern,
44,Perfekt (Partizip II),,Sie hat ihren Plan schließlich ______.,eingegeben,aufgegeben,zugegeben,ausgegeben,aufgegeben,aufgeben,gab auf,từ bỏ; gửi thư,Cuối cùng cô ấy đã từ bỏ kế hoạch của mình.,verzichten,weitergemacht (tiếp tục)
45,Perfekt (Partizip II),,Er ist sehr freundlich mit den Kunden ______.,aufgegangen,umgegangen,ausgegangen,zugegangen,umgegangen,umgehen,ging um,đối xử (với ai đó),Anh ấy đã đối xử rất thân thiện với khách hàng.,behandeln,
46,Perfekt (Partizip II),,Wir haben bei dem Spiel alle ______.,weitergemacht,mitgemacht,angemacht,nachgemacht,mitgemacht,mitmachen,machte mit,tham gia,Tất cả chúng tôi đều đã tham gia trò chơi đó.,teilnehmen,ferngeblieben (đứng ngoài)
47,Perfekt (Partizip II),,"Wir sind gestern Abend ______, um zu feiern.",umgegangen,ausgegangen,angegangen,vergangen,ausgegangen,ausgehen,ging aus,đi chơi; kết thúc ra sao,Tối qua chúng tôi đã đi chơi để ăn mừng.,enden,zu Hause geblieben (ở nhà)
48,Perfekt (Partizip II),,Das alte Haus wurde völlig ______.,verbaut,aufgebaut,umgebaut,eingebaut,umgebaut,umbauen,baute um,cải tạo,Ngôi nhà cũ đã được cải tạo hoàn toàn.,renovieren,
49,Perfekt (Partizip II),,Meine Schwester ist zum Konzert ______.,angekommen,bekommen,zurückgekommen,mitgekommen,mitgekommen,mitkommen,kam mit,đi cùng,Em gái tôi đã đi cùng đến buổi hòa nhạc.,begleiten,zurückgeblieben (ở lại)
50,Perfekt (Partizip II),,Er hat dem Chef den Bericht ______.,ausgelegt,vorgelegt,angelegt,eingelegt,vorgelegt,vorlegen,legte vor,trình bày; đưa ra,Anh ấy đã trình báo cáo cho sếp.,präsentieren,
51,Perfekt (Partizip II),,Ich habe ein neues Restaurant ______.,vorgeschlagen,angeschlagen,eingeschlagen,aufgeschlagen,vorgeschlagen,vorschlagen,schlug vor,đề xuất,Tôi đã đề xuất một nhà hàng mới.,empfehlen,abgelehnt (từ chối)
52,Perfekt (Partizip II),,Er hat den Vorsprung wieder ______.,umgeworfen,eingeholt,abgeholt,erholt,eingeholt,einholen,holte ein,bắt kịp; xin (phép),Anh ấy đã bắt kịp lại khoảng cách dẫn trước.,nachholen,zurückgefallen (tụt lại)
53,Perfekt (Partizip II),,Die Mutter hat das Kind im Bett ______.,bedeckt,abgedeckt,zugedeckt,entdeckt,zugedeckt,zudecken,deckte zu,đắp (chăn),Người mẹ đã đắp chăn cho đứa trẻ trên giường.,verhüllen,aufgedeckt (mở ra)
54,Perfekt (Partizip II),,"Sie hat sofort ______, als das Gespräch unangenehm wurde.",eingelegt,verlegt,ausgelegt,aufgelegt,aufgelegt,auflegen,legte auf,đặt lên; gác máy,Cô ấy đã gác máy ngay khi cuộc trò chuyện trở nên khó chịu.,(Telefonat) beenden,
55,Perfekt (Partizip II),,Der Autor hat die Landschaft sehr genau ______.,abgeschrieben,verschrieben,umgeschrieben,beschrieben,beschrieben,beschreiben,beschrieb,miêu tả,Tác giả đã miêu tả phong cảnh rất chi tiết.,darstellen,
56,Perfekt (Partizip II),,Sie hat ihre Gefühle klar ______.,eingedrückt,bedrückt,ausgedrückt,unterdrückt,ausgedrückt,ausdrücken,drückte aus,"diễn đạt, bày tỏ",Cô ấy đã bày tỏ cảm xúc của mình một cách rõ ràng.,äußern,verborgen (che giấu)
57,Perfekt (Partizip II),,Alle Mitarbeiter haben sich im Konferenzraum ______.,eingesammelt,versammelt,verfallen,eingesetzt,versammelt,versammeln,versammelte,tập hợp lại,Tất cả nhân viên đã tập trung tại phòng họp.,zusammenkommen,zerstreut (giải tán)
58,Perfekt (Partizip II),,Wir haben ihn schon lange ______.,erwartet,unterlegen,abgewartet,weggelaufen,erwartet,erwarten,erwartete,mong đợi,Chúng tôi đã mong đợi anh ấy từ lâu.,hoffen auf,
59,Perfekt (Partizip II),,Wir haben den Vertrag gestern ______.,aufgeschrieben,abgeschrieben,beschrieben,unterschrieben,unterschrieben,unterschreiben,unterschrieb,ký tên,Hôm qua chúng tôi đã ký hợp đồng.,signieren,
60,Perfekt (Partizip II),,Er hat das Licht im Flur ______.,weitergemacht,zugemacht,aufgemacht,angemacht,angemacht,anmachen,machte an,bật (đèn); (khẩu ngữ) tán tỉnh,Anh ấy đã bật đèn ở hành lang.,einschalten,ausgemacht (tắt)
61,Perfekt (Partizip II),,Der Agent hat das Telefonat heimlich ______.,angehört,zugehört,abgehört,aufgehört,abgehört,abhören,hörte ab,nghe lén; kiểm tra bài,Điệp viên đã bí mật nghe lén cuộc gọi điện thoại.,belauschen,
62,Perfekt (Partizip II),,Das Finale wurde im großen Stadion ______.,ausgetragen,übertragen,vertragen,beigetragen,ausgetragen,austragen,trug aus,"giao (báo, hàng); tổ chức (giải đấu)",Trận chung kết đã được tổ chức tại sân vận động lớn.,verteilen,
63,Perfekt (Partizip II),,Er hat sich in der Stadt sehr gut ______.,bekannt,kennengelernt,ausgekannt,erkannt,ausgekannt,auskennen,kannte aus,"rành, thông thạo về",Anh ấy rất rành thành phố này.,Bescheid wissen,nicht ausgekannt (không rành)
64,Perfekt (Partizip II),,Der Kollege hat mich während des Urlaubs ______.,ausgetreten,vertreten,eingetreten,aufgetreten,vertreten,vertreten,vertrat,đại diện cho; thay thế,Đồng nghiệp đã thay thế tôi trong thời gian nghỉ phép.,repräsentieren,
65,Perfekt (Partizip II),,Er hat seine Schuhe vor der Tür ______.,abgezogen,angezogen,verzogen,ausgezogen,ausgezogen,ausziehen,zog aus,cởi đồ; chuyển ra khỏi nhà,Anh ấy đã cởi giày trước cửa.,entkleiden,angezogen (mặc đồ)
66,Perfekt (Partizip II),,Er hat tief die frische Luft ______.,angemacht,berichtet,eingeatmet,ausgeatmet,eingeatmet,einatmen,atmete ein,hít vào,Anh ấy đã hít thở sâu bầu không khí trong lành.,inhalieren,ausgeatmet (thở ra)
67,Perfekt (Partizip II),,Ein Fehler kann nie ganz ______ werden.,ausgeschlossen,verschlossen,angeschlossen,beschlossen,ausgeschlossen,ausschließen,schloss aus,loại trừ,Sai sót không bao giờ có thể bị loại trừ hoàn toàn.,eliminieren,eingeschlossen (bao gồm)
68,Perfekt (Partizip II),,Der Experte hat die Risiken deutlich ______.,angezeigt,vorgezeigt,aufgesetzt,aufgezeigt,aufgezeigt,aufzeigen,zeigte auf,"chỉ ra, nêu rõ",Chuyên gia đã chỉ rõ những rủi ro.,darlegen,verborgen (che giấu)
69,Perfekt (Partizip II),,Das Pferd hat plötzlich ______.,ausgeschlagen,angeschlagen,zerschlagen,abgeschlagen,ausgeschlagen,ausschlagen,schlug aus,từ chối; đá (ngựa),Con ngựa bỗng nhiên đá hậu.,ablehnen,angenommen (chấp nhận)
70,Perfekt (Partizip II),,Der Zeuge ist von der Polizei ______ worden.,benommen,angenommen,zugenommen,vernommen,vernommen,vernehmen,vernahm,thẩm vấn; nghe thấy,Nhân chứng đã bị cảnh sát thẩm vấn.,"verhören, hören",
71,Perfekt (Partizip II),,Die Vase ist beim Umzug ______.,zerbrochen,unterbrochen,aufgebrochen,abgebrochen,zerbrochen,zerbrechen,zerbrach,vỡ tan,Chiếc bình đã bị vỡ khi chuyển nhà.,kaputtgehen,
72,Perfekt (Partizip II),,Die Katze ist vor Angst ______.,abgelaufen,verlaufen,weggelaufen,zugelaufen,weggelaufen,weglaufen,lief weg,chạy trốn,Con mèo đã chạy trốn vì sợ hãi.,fliehen,geblieben (ở lại)
73,Perfekt (Partizip II),,Alle Mitarbeiter wurden in das Projekt ______.,angebunden,losgebunden,verbunden,eingebunden,eingebunden,einbinden,band ein,tích hợp vào,Tất cả nhân viên đã được đưa vào dự án.,integrieren,ausgeschlossen (loại trừ)
74,Perfekt (Partizip II),,Die neue Methode wurde erfolgreich ______.,zugewendet,angewendet,abgewendet,verwendet,angewendet,anwenden,wendete an,áp dụng,Phương pháp mới đã được áp dụng thành công.,einsetzen,
75,Perfekt (Partizip II),,Der Sieger wurde offiziell ______.,aufgerufen,ausgerufen,widerrufen,angerufen,ausgerufen,ausrufen,rief aus,"hô to, tuyên bố",Người chiến thắng đã được công bố chính thức.,verkünden,
76,Perfekt (Partizip II),,Ich habe das Buch endlich ______.,verlesen,durchgelesen,vorgelesen,ausgelesen,ausgelesen,auslesen,las aus,đọc xong; chọn lọc,Cuối cùng tôi đã đọc xong quyển sách.,fertiglesen,
77,Perfekt (Partizip II),,Er hat das Problem mutig ______.,eingepackt,bezogen,ausgepackt,angepackt,angepackt,anpacken,packte an,bắt tay vào việc; nắm lấy,Anh ấy đã can đảm bắt tay giải quyết vấn đề.,angehen,
78,Perfekt (Partizip II),,Er hat leider seinen Zug ______.,aufgepasst,besessen,verpasst,angepasst,verpasst,verpassen,verpasste,bỏ lỡ,Tiếc là anh ấy đã lỡ chuyến tàu.,versäumen,erreicht (bắt kịp/đạt được)
79,Perfekt (Partizip II),,Der Plan wurde am Ende komplett ______.,eingeworfen,verworfen,angeworfen,umgeworfen,verworfen,verwerfen,verwarf,bác bỏ,Kế hoạch cuối cùng đã bị bác bỏ hoàn toàn.,ablehnen,angenommen (chấp nhận)
80,Perfekt (Partizip II),,Das Kind hat die Stimme des Lehrers ______.,angemacht,zugemacht,weitergemacht,nachgemacht,nachgemacht,nachmachen,machte nach,bắt chước,Đứa trẻ đã bắt chước giọng của thầy giáo.,imitieren,
81,Perfekt (Partizip II),,Der Patient hat die Tabletten pünktlich ______.,angenommen,abgenommen,eingenommen,vernommen,eingenommen,einnehmen,nahm ein,uống thuốc; chiếm,Bệnh nhân đã uống thuốc đúng giờ.,schlucken,
82,Perfekt (Partizip II),,Ich habe das Passwort falsch ______.,zugegeben,zurückgegeben,eingegeben,abgegeben,eingegeben,eingeben,gab ein,nhập dữ liệu,Tôi đã nhập sai mật khẩu.,eintippen,gelöscht (xóa)
83,Perfekt (Partizip II),,Ich habe seinen Vorschlag gern ______.,aufgenommen,teilgenommen,abgenommen,angenommen,angenommen,annehmen,nahm an,chấp nhận; cho rằng,Tôi đã vui vẻ chấp nhận đề nghị của anh ấy.,"akzeptieren, vermuten",abgelehnt (từ chối)
84,Perfekt (Partizip II),,Sie hat ihre Teilnahme schon ______.,abgesagt,vorausgesagt,zugesagt,ausgesagt,zugesagt,zusagen,sagte zu,"đồng ý, nhận lời",Cô ấy đã đồng ý tham gia rồi.,zustimmen,abgesagt (từ chối/hủy)
85,Perfekt (Partizip II),,Man hat ihm Unehrlichkeit ______.,vorgeworfen,aufgeworfen,umgeworfen,verworfen,vorgeworfen,vorwerfen,warf vor,buộc tội; trách móc,Người ta đã buộc tội anh ấy không trung thực.,beschuldigen,gelobt (khen ngợi)
86,Perfekt (Partizip II),,Der Forscher hat ein neues Medikament ______.,entdeckt,zugedeckt,aufgedeckt,bedeckt,entdeckt,entdecken,entdeckte,"khám phá, phát hiện",Nhà nghiên cứu đã phát hiện ra một loại thuốc mới.,herausfinden,
87,Perfekt (Partizip II),,Der Drucker wurde an den Computer ______.,eingeschlossen,verschlossen,beschlossen,angeschlossen,angeschlossen,anschließen,schloss an,kết nối,Máy in đã được kết nối với máy tính.,verbinden,getrennt (ngắt kết nối)
88,Perfekt (Partizip II),,Die Sonne ist heute um sechs Uhr ______.,eingegangen,zugegangen,begangen,aufgegangen,aufgegangen,aufgehen,ging auf,mọc (mặt trời),Hôm nay mặt trời đã mọc lúc sáu giờ.,sich öffnen,untergegangen (lặn - mặt trời)
89,Perfekt (Partizip II),,Sie hat Wasser in die Flasche ______.,erfüllt,ausgefüllt,eingefüllt,ausgeschaltet,eingefüllt,einfüllen,füllte ein,"đổ vào, rót vào",Cô ấy đã rót nước vào chai.,hineingießen,ausgeleert (đổ ra hết)
90,Perfekt (Partizip II),,Der Vertrag wurde nur leicht ______.,verlesen,abgeändert,verändert,ausgesucht,abgeändert,abändern,änderte ab,"sửa đổi (nhỏ, chi tiết)",Hợp đồng chỉ được sửa đổi một chút.,modifizieren,
91,Perfekt (Partizip II),,Diese Regel ist inzwischen ______.,weggefallen,verfallen,befallen,eingefallen,weggefallen,wegfallen,fiel weg,bị bỏ đi; mất đi,Quy định này giờ đã không còn áp dụng nữa.,entfallen,bestehen geblieben (vẫn tồn tại)
92,Perfekt (Partizip II),,Trotz der Probleme haben wir ______.,zugemacht,weitergemacht,ausgemacht,mitgemacht,weitergemacht,weitermachen,machte weiter,tiếp tục làm,"Bất chấp khó khăn, chúng tôi vẫn tiếp tục.",fortsetzen,aufgehört (dừng lại)
93,Perfekt (Partizip II),,Wir haben alle am Wettbewerb ______.,teilgenommen,angenommen,abgenommen,zugenommen,teilgenommen,teilnehmen,nahm teil,tham gia,Tất cả chúng tôi đã tham gia cuộc thi.,mitmachen,ferngeblieben (vắng mặt)
94,Perfekt (Partizip II),,"Die Mutter hat schließlich ______ und ihm erlaubt, auszugehen.",vergeben,abgegeben,nachgegeben,angegeben,nachgegeben,nachgeben,gab nach,nhượng bộ,Cuối cùng người mẹ đã nhượng bộ và cho phép cậu bé ra ngoài.,einlenken,durchgesetzt (kiên quyết)
95,Perfekt (Partizip II),,Wir haben den Termin schon vorher ______.,abgesprochen,versprochen,besprochen,angesprochen,abgesprochen,absprechen,sprach ab,thỏa thuận trước,Chúng tôi đã thỏa thuận lịch hẹn từ trước.,vereinbaren,
96,Perfekt (Partizip II),,Der Termin wurde für Montag ______.,verlegt,festgelegt,vorgelegt,belegt,festgelegt,festlegen,legte fest,quy định; ấn định,Lịch hẹn đã được ấn định vào thứ Hai.,bestimmen,
97,Perfekt (Partizip II),,Die Band hat ein neues Lied ______.,weggefahren,abgespielt,vorgespielt,mitgespielt,abgespielt,abspielen,spielte ab,"phát (nhạc, video)",Ban nhạc đã phát một bài hát mới.,wiedergeben,
98,Perfekt (Partizip II),,Das Dachgeschoss wurde zu einer Wohnung ______.,bebaut,ausgebaut,eingebaut,aufgebaut,ausgebaut,ausbauen,baute aus,mở rộng; tháo ra,Tầng áp mái đã được cải tạo thành căn hộ.,erweitern,abgebaut (thu hẹp)
99,Perfekt (Partizip II),,Sie hat ihre Brille ______ und angefangen zu lesen.,aufgesetzt,versetzt,durchgesetzt,fortgesetzt,aufgesetzt,aufsetzen,setzte auf,đội (mũ); soạn văn bản,Cô ấy đã đeo kính lên và bắt đầu đọc.,anziehen (mũ),abgenommen (tháo ra)
100,Perfekt (Partizip II),,Wir haben uns letztes Jahr ______.,erkannt,kennengelernt,ausgekannt,bekannt,kennengelernt,kennenlernen,lernte kennen,làm quen,Chúng tôi đã làm quen với nhau vào năm ngoái.,sich vorstellen lassen,
101,Perfekt (Partizip II),,Die Mutter hat das Baby warm ______.,aufgepasst,angenommen,verkleidet,angekleidet,angekleidet,ankleiden,kleidete an,mặc quần áo (trang trọng),Người mẹ đã mặc ấm cho em bé.,sich anziehen,ausgezogen (cởi đồ)
102,Perfekt (Partizip II),,Der Journalist hat über den Unfall ______.,verrichtet,eingerichtet,berichtet,aufgerichtet,berichtet,berichten,berichtete,"báo cáo, tường thuật",Nhà báo đã tường thuật về vụ tai nạn.,erzählen,
103,Perfekt (Partizip II),,Alle Kosten sind von der Versicherung ______.,abgedeckt,zugedeckt,bedeckt,entdeckt,abgedeckt,abdecken,deckte ab,che phủ; bao gồm,Mọi chi phí đều được bảo hiểm chi trả.,absichern,
104,Perfekt (Partizip II),,Zum Zeitpunkt des Unfalls hat er sich im Ausland ______.,befunden,erfunden,fortgesetzt,verbunden,befunden,befinden,befand,"ở, nằm tại (vị trí)","Vào thời điểm xảy ra tai nạn, anh ấy đang ở nước ngoài.",sich aufhalten,
105,Perfekt (Partizip II),,Das Telefon wurde vor über hundert Jahren ______.,eingesetzt,erfunden,befunden,versammelt,erfunden,erfinden,erfand,"phát minh, bịa ra",Điện thoại đã được phát minh cách đây hơn một trăm năm.,entwickeln,
106,Perfekt (Partizip II),,Das Fleisch wurde in kleine Stücke ______.,mitgeteilt,zerteilt,verteilt,eingeteilt,zerteilt,zerteilen,zerteilte,"chia nhỏ, cắt vụn",Thịt đã được cắt thành từng miếng nhỏ.,zerschneiden,zusammengefügt (ghép lại)
107,Perfekt (Partizip II),,Die Firma hat drei neue Mitarbeiter ______.,eingestellt,dargestellt,abgestellt,vorgestellt,eingestellt,einstellen,stellte ein,tuyển dụng; cài đặt,Công ty đã tuyển ba nhân viên mới.,anstellen,entlassen (sa thải)
108,Perfekt (Partizip II),,Der Verdächtige hat sich schließlich ______.,erkannt,kennengelernt,ausgekannt,bekannt,bekannt,bekennen,bekannte,thú nhận,Cuối cùng nghi phạm đã thú nhận.,gestehen,geleugnet (chối bỏ)
